First Name,Last Name,Pos,Pro Team,Age,Percent Owned,Fantasy Team,Contract Started,Contract Length,Remaining Years,Value,Remaining Value,Fantasy Points
Mason,Crosby,PK,GB  ,37,75.71,All the Bacon & Eggs,2020,1,0,2200000,1200000,111
Eric,Ebron,TE,PIT ,28,79.04,All the Bacon & Eggs,2020,2,1,4500000,2295000,128.8
Michael,Thomas,WR,NO  ,28,100,All the Bacon & Eggs,2020,2,1,59000000,30090000,76.4
Kareem,Hunt,RB,CLE ,26,100,All the Bacon & Eggs,2020,2,1,32130000,32130000,231
Allen,Lazard,WR,GB  ,26,74.25,All the Bacon & Eggs,2020,2,1,11500000,5865000,93.5
Noah,Fant,TE,DEN ,24,100,All the Bacon & Eggs,2019,4,2,18249310,9854628,135.3
Drew,Lock,QB,DEN ,25,74.55,All the Bacon & Eggs,2020,4,3,47500000,37050000,217.02
Preston,Williams,WR,MIA ,24,68.26,All the Bacon & Eggs,2019,4,2,6884959,3717879,72.8
Jalen,Reagor,WR,PHI ,22,99.4,All the Bacon & Eggs,2020,4,3,19423036,15149968,83.2
Ke'Shawn,Vaughn,RB,TB  ,24,83.83,All the Bacon & Eggs,2020,4,3,7621750,5944965,24.6
Adam,Trautman,TE,NO  ,24,91.02,All the Bacon & Eggs,2020,4,3,4786262,3733284,35.1
Joe,Reed,WR,LAC ,23,4.19,All the Bacon & Eggs,2020,4,3,2000000,1560000,9.4
Trevor,Lawrence,QB,JAC ,22,99.1,All the Bacon & Eggs,2021,4,4,33011971,33011971,0
Amari,Rodgers,WR,GB  ,22,90.12,All the Bacon & Eggs,2021,4,4,4918366,4918366,0
Trey,Sermon,RB,SF  ,22,100,All the Bacon & Eggs,2021,4,4,8522834,8522834,0
Terrace,Marshall Jr.,WR,CAR ,21,98.8,All the Bacon & Eggs,2021,4,4,8450162,8450162,0
Jaelon,Darden,WR,TB  ,22,33.83,All the Bacon & Eggs,2021,4,4,4435324,4435324,0
Noah,Gray,TE,KC  ,22,25.15,All the Bacon & Eggs,2021,4,4,3829844,3829844,0
